"","Epithelial","Fibroblasts","Myo.Meso","Endothelium","Pericytes","Neural","Immune","Muscle"
"ATP1A1",0.000208476948667195,4.65679123610955e-05,0.000132381579378843,6.76662338799143e-05,5.32729707342609e-05,9.77369152905859e-05,8.33481619155337e-05,3.63335677242379e-05
"LINC01762",0,0,0,0,0,0,0,0
"AL136376.1",0,0,0,0,0,0,0,0
"AL390066.1",8.50701829008932e-07,0,0,0,0,0,0,0
"CD58",1.59716075551296e-05,1.7922343127922e-05,1.63009521751283e-05,2.39603211923804e-05,5.69232958588302e-06,6.75487465181059e-06,1.8922177479797e-05,8.72472984927088e-06
"IGSF3",1.09414286091958e-05,1.12440459322957e-05,1.40634838437583e-05,7.56902229709298e-06,4.02171727327569e-06,1.0047074998104e-05,0,2.59752654106664e-05
"C1orf137",0,0,0,0,0,0,0,0
"CD2",0,0,0,0,0,0,1.29426464815157e-05,0
"AL157904.1",0,0,0,0,0,0,0,0
"PTGFRN",6.88751770621852e-06,2.48518001910292e-05,2.04246426608759e-05,1.80137975645438e-05,2.08218698784832e-05,6.34501562200261e-06,0,3.25450819796264e-05
"CD101",0,0,0,0,0,0,4.72813238770686e-06,0
"AL445231.1",0,0,0,0,5.69232958588302e-06,0,0,0
"TTF2",1.37691579975784e-05,1.20598166907863e-06,1.22703695592793e-05,1.51171560924385e-05,1.41910029900119e-05,2.09797276116802e-05,2.32636914238561e-05,2.28433345166545e-05
"TRIM45",0,4.18910482456678e-06,3.9165769117791e-06,9.58880566502124e-06,0,6.74455272409256e-06,4.54700466067978e-06,4.3525571273123e-06
"VTCN1",0,0,0,3.98327026488747e-06,0,0,0,0
"LINC01525",0,0,0,0,0,0,0,0
"AL358072.1",0,0,0,1.58660901987228e-06,0,0,0,0
"MAN1A2",3.63351703510756e-05,2.39738936152194e-05,2.5265355929423e-05,4.70456934678011e-05,9.37862098293151e-06,6.6605588980419e-05,2.18731030648002e-05,4.6380236772349e-05
"AL157902.1",0,0,0,0,0,0,0,0
"TENT5C",2.17383633763233e-05,2.33951633742802e-05,1.60066801566808e-05,5.79413813533127e-06,2.16450853741128e-05,9.68140691888614e-06,1.42517814726841e-05,2.46762696647917e-05
"GDAP2",1.00084911016152e-05,1.17541099131676e-05,8.40226455663644e-06,8.22230936300017e-06,3.53982300884956e-06,9.15886176306813e-06,0,1.64144557096135e-05
"WDR3",7.88802077801124e-06,1.74869751546559e-05,3.02446109321331e-05,2.79154625962522e-05,1.63483034298925e-05,2.6794077228792e-05,4.54700466067978e-06,1.97304957588039e-05
"SPAG17",9.63414340422457e-07,1.20598166907863e-06,0,0,0,0,0,0
"TBX15",0,0,0,0,0,0,0,0
"AL139420.1",0,0,0,0,0,0,0,0
"AL139420.2",0,0,0,0,0,0,0,0
"WARS2",2.52750625741123e-05,3.27012782004464e-05,2.26633713045249e-05,1.10009608878115e-05,1.09409190371991e-05,1.00916996650244e-05,1.22012378349049e-05,1.76715387019293e-05
"WARS2-IT1",0,0,9.35781962802667e-06,0,0,0,0,0
"AL359915.2",4.33630519246751e-06,4.61633705470771e-06,2.69796303790638e-06,2.34370422452686e-06,5.22125048949223e-06,0,0,4.3525571273123e-06
"AL359915.1",0,0,0,0,0,0,0,0
"LINC01780",0,0,0,0,0,0,0,0
"HAO2",0,0,0,0,0,0,0,0
"HSD3B2",7.72618403770378e-07,0,0,0,0,0,0,0
"HSD3B1",6.39202275560101e-07,0,0,0,0,0,0,0
"ZNF697",7.72618403770378e-07,0,5.70044178423828e-06,1.20368763502336e-05,0,5.77472871421187e-06,0,4.12158681092221e-06
"PHGDH",0.000125421668323004,0.000119666077846284,0.000181474052641347,3.37593561733576e-05,0.000147604695443046,0.000131535445288214,1.41195902426347e-05,0.000173538945731941
"HMGCS2",5.29906109135295e-05,0,0,0,0,0,0,0
"REG4",8.50405562789683e-06,0,0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,0,0
"NOTCH2",1.5213838692782e-06,2.53319793578034e-05,4.04741402514832e-05,0,2.0819580326155e-05,1.12998818666397e-05,5.59441488439443e-06,4.2844397010013e-05
"AC245008.1",0,0,0,0,0,0,0,0
"SEC22B",6.07432856501657e-05,0.000102860406812475,8.58136043998035e-05,4.96391242942746e-05,3.56587110659431e-05,6.0705903843353e-05,3.51927399459592e-05,9.10527204324275e-05
"NBPF26",3.65559009992929e-06,3.34190524168238e-06,8.47621732099704e-06,0,4.61041954817888e-06,0,9.38932215639531e-06,1.23388782377514e-05
"PPIAL4A",0,0,0,0,0,0,0,0
"LINC00623",1.55719411385898e-05,1.2498729843999e-05,0,0,4.93400764771185e-06,2.60935012266944e-05,2.25022502250225e-06,2.01363209326636e-05
"FCGR1B",0,0,0,0,0,0,2.53452899437079e-05,0
"AC244453.3",0,0,0,0,0,0,0,0
"AC244453.2",0,1.2528580825007e-06,0,0,0,0,0,0
"AC244453.1",0,0,0,0,0,0,0,0
"FAM72B",7.37476723390918e-07,2.16239593469564e-06,3.27064595257563e-06,1.99163513244374e-06,0,0,0,3.98009950248756e-06
"SRGAP2C",9.95817566221868e-07,1.2601053125373e-05,1.73108410531932e-05,5.97394958657646e-05,5.07378160423347e-05,4.88380033584471e-05,3.20919251801384e-05,2.08065754467775e-05
"SRGAP2-AS1",0,0,0,0,0,0,0,0
"AC244021.1",0,0,0,0,0,0,0,0
"AC244021.2",0,0,0,0,0,0,0,0
"AL592494.1",0,0,0,0,0,0,0,0
"AL592494.3",0,0,0,0,0,6.59609983177859e-06,0,0
"LINC01691",0,0,0,0,0,0,0,0
"AC239859.3",0,0,0,0,0,0,0,0
"AC239800.2",0,0,0,0,0,3.49772647778944e-06,0,0
"AC239800.3",6.64233419254862e-06,1.42141359582104e-06,1.21104423793593e-05,0,0,3.05250305250305e-06,0,3.81898033225129e-06
"AC239798.2",0,0,0,0,0,0,0,0
"AC246680.1",0,0,0,0,0,0,0,0
"HIST2H3PS2",0,0,0,0,0,0,0,0
"FAM72C",0,0,0,0,0,6.20482231725791e-06,0,0
"IGKV1OR1-1",0,0,0,0,0,0,0,0
"AC245595.1",2.44971335853825e-05,7.86723994074662e-05,3.39158138697096e-05,1.63611390244684e-05,4.52480996195557e-05,2.87614614821174e-05,4.41549839938183e-06,0.000112498538944276
"PPIAL4E",0,0,0,0,0,0,0,0
"AC246785.3",9.4863159891856e-07,0,0,0,0,0,0,0
"NBPF15",3.3821625666303e-06,4.78526225958256e-06,1.4213433190654e-05,1.32762627566912e-05,5.22875816993464e-06,9.44245136825453e-06,4.60405156537753e-06,3.8259206121473e-06
"PPIAL4F",0,0,0,0,0,0,0,0
"LINC01632",0,0,0,0,0,0,0,0
"FP700111.1",0,0,0,2.13515533255044e-06,0,0,0,0
"SRGAP2B",0,2.6258519684159e-05,3.45070658458655e-05,6.30297802137108e-05,2.04342581793664e-05,6.5235633673146e-05,2.60913751445006e-05,2.62294872138317e-05
"FAM72D",9.04077389024501e-07,6.83112013555982e-06,0,5.48879316195136e-06,4.82683721491493e-06,3.20128051220488e-06,0,3.98009950248756e-06
"PPIAL4D",0,0,0,0,0,0,0,0
"AC245014.3",1.23476778034335e-05,6.03823574410744e-06,1.22510236267751e-05,2.27570120043238e-06,1.03443645023073e-05,0,1.49430332884268e-05,2.19034059796298e-06
"AC245014.1",0,0,0,0,0,0,0,0
"NBPF20",0,2.1564504825058e-06,0,1.82949140139041e-06,0,0,4.4762757385855e-06,0
"GPR89A",5.89338685226225e-06,5.19070106618885e-06,1.42801366429361e-05,9.59723448669416e-06,4.61947107056242e-06,6.74326268450446e-06,9.37106384043414e-06,6.90814930790363e-06
"PDZK1",2.369139882444e-05,0,0,0,0,0,4.41549839938183e-06,4.12286126571841e-06
"CD160",0,0,0,0,0,0,4.75059382422803e-06,0
"RNF115",2.48897879560065e-05,3.54900509493877e-05,4.73010790714518e-05,4.56823371244599e-05,2.89192329530652e-05,6.23732491170952e-05,1.84282277623711e-05,5.2362578850256e-05
"POLR3C",4.07853231965865e-06,9.00756496269118e-06,1.72817241730088e-05,7.12176599106136e-06,1.37756415990978e-05,2.19082046226312e-06,0,1.4761501142125e-05
"NUDT17",7.72618403770378e-07,0,0,2.39277382305438e-06,4.15843642790311e-06,0,0,8.01002186887252e-06
"PIAS3",8.88336146397797e-07,2.02194112428566e-05,1.56661000476122e-05,1.81339067124821e-05,1.15142917749377e-05,1.70856651050714e-05,0,2.64948143280149e-05
"ANKRD35",0,2.08334060686441e-05,0,1.95236235845373e-06,1.00642388788111e-05,2.50592018169226e-05,8.95255147717099e-06,8.59639716304866e-06
"ITGA10",0,0,0,2.12596332713261e-06,0,0,0,4.23863515947865e-06
"AC243547.1",0,0,0,0,0,0,0,0
"PEX11B",1.20830637005877e-05,7.48204590595389e-06,4.70339376801516e-06,1.16952036168743e-05,0,2.10783608870997e-05,1.12831463615152e-05,6.60389019522658e-06
"RBM8A",0.000160993718296463,0.000193400166132694,0.000121559835687074,0.000215607780034452,0.000305489505309234,0.000257564142795907,0.000161101437702388,0.000192782105929772
"LIX1L-AS1",0,0,0,0,0,0,0,2.89142691918462e-06
"AC243547.3",0,0,0,0,0,0,0,0
"LIX1L",1.02108541379486e-06,2.47350997186249e-05,2.19123099481805e-05,3.52931810129263e-05,3.34950032954203e-05,3.56933197306533e-05,1.63028967045402e-05,1.73260277903657e-05
"ANKRD34A",0,0,0,0,0,0,0,0
"AC243547.2",0,0,0,0,0,0,0,0
"POLR3GL",3.04877455081168e-05,4.77586316494119e-05,3.25535708161453e-05,5.85492260112928e-05,2.81517253191227e-05,4.84975788826584e-05,4.38692251310577e-05,5.14573587289153e-05
"TXNIP",0.000682012128746219,0.000414283841473817,0.000600155477443148,0.000271466019451298,0.000272974826344049,0.000108897640152978,0.000133569096721874,0.000531742860755571
"HJV",0,0,0,0,0,0,0,0
"LINC01719",9.71203807118924e-07,0,0,0,0,2.99333981890294e-06,0,0
"NBPF10",9.89805008413343e-07,1.03108506307053e-05,3.08724266330248e-06,0,0,7.45762508324838e-06,6.46752734892174e-06,6.9148972942539e-06
"AC239799.1",0,0,0,0,0,0,0,0
"NOTCH2NL",1.77337803665348e-06,9.57882882564577e-06,8.44313530593032e-06,0,9.22083909635777e-06,3.86100386100386e-06,4.60405156537753e-06,1.96450404871928e-05
"AC239799.2",0,0,5.42888165038002e-06,0,0,0,0,0
"AC243756.1",0,0,0,0,0,0,0,0
"AC245407.2",0,0,0,0,0,0,0,0
"NBPF12",2.61926845475003e-06,7.99956882769866e-06,4.98442367601246e-06,1.41904730362705e-05,0,1.00249901187322e-05,1.72886962285291e-05,1.0180192622495e-05
"AC244394.2",0,0,0,0,0,0,0,0
"PRKAB2",1.19156681854854e-05,1.11526022096188e-05,4.70339376801516e-06,4.03099914453617e-06,2.92018617306744e-05,1.24954228561092e-05,2.89645184648805e-06,1.7784011043159e-05
"AC242426.2",3.09471524496553e-06,0,2.88641939673835e-06,0,5.22125048949223e-06,9.6119214109937e-06,0,7.453973857324e-06
"FMO5",1.86132378648644e-05,0,0,4.3353393569706e-06,0,0,0,0
"CHD1L",7.16163267902933e-06,2.56064788155736e-05,1.2838509997281e-05,1.93494689910351e-05,3.53941186503831e-05,3.01313806145812e-05,2.22348273681657e-05,3.37015695577266e-05
"LINC00624",0,0,0,0,5.90580245090802e-06,2.87728384405122e-06,0,0
"BCL9",1.65713674957723e-05,2.15749730312837e-06,3.58166189111748e-06,8.53588110223815e-06,9.72215905751397e-06,1.22299165186779e-05,0,2.12067686453637e-05
"ACP6",7.10971966376713e-06,0,1.34888881954581e-05,2.02695854869768e-06,4.15843642790311e-06,6.2926892273772e-06,0,6.00062674003058e-06
"AC241644.1",0,0,0,0,0,0,0,0
"GJA5",0,0,0,7.20244883260308e-06,9.84822924049706e-06,0,0,2.98151460942159e-06
"AC241644.3",0,0,0,0,0,0,0,0
"AC241644.2",0,0,0,0,0,0,0,0
"GJA8",0,0,0,0,0,0,0,0
"GPR89B",9.0410111893018e-06,2.41196333815726e-06,2.69796303790638e-06,0,0,5.31167557656444e-06,2.31026914635555e-06,1.07728836074205e-05
"AC239803.2",0,0,0,0,0,0,0,0
"AC239803.3",0,0,0,0,0,0,0,0
"NBPF11",3.62368035103663e-06,2.62881177707676e-06,2.19925225423356e-06,6.3311295219335e-06,4.02171727327569e-06,6.46430961611501e-06,4.74158368895211e-06,4.49539222297145e-06
"AC239809.3",0,4.82541645978536e-06,0,0,0,3.10993624630695e-06,0,0
"AC239803.1",0,0,0,0,0,0,0,0
"LINC01731",0,0,0,0,0,0,0,0
"AC245100.6",0,0,0,0,0,0,0,0
"AC245100.1",0,0,0,0,0,0,0,0
"AC245100.7",0,0,0,0,0,0,0,0
"PPIAL4G",0,0,0,0,0,0,0,0
"NBPF14",6.27865139824148e-06,2.46302202465151e-05,1.55593248970905e-05,0,4.18443981228995e-05,1.78679666651238e-05,1.48000747643513e-05,2.81895278290014e-05
"NUDT4B",0,0,0,0,0,0,0,0
"PDE4DIP",1.17017858074634e-05,4.6487700641397e-05,8.07916862897982e-05,8.60304845039969e-06,5.90580245090802e-06,2.90125976812953e-05,4.91702519975415e-06,2.95860212384043e-05
"AC239802.1",0,0,0,0,0,0,0,0
"AC239802.2",0,0,0,0,0,0,0,0
"AC239804.1",0,0,0,0,0,0,0,0
"NBPF9",2.34210263186231e-06,0,2.97397769516729e-06,0,3.31812525922854e-06,0,4.05227433897275e-06,1.01316075332785e-05
"AC245297.3",2.34047132201211e-05,3.40493566687669e-05,4.63276855021335e-05,6.43410170933542e-06,2.51760780505569e-05,1.33836323395434e-05,4.75059382422803e-06,3.8117421353795e-05
"AC245297.2",0,1.92049164586134e-06,3.27064595257563e-06,0,0,0,0,0
"NBPF19",3.52426530157124e-06,9.59342669887713e-06,2.1330335841381e-05,0,1.74172090149714e-05,9.62183656814377e-06,7.06086297058358e-06,2.7501871048488e-05
"PPIAL4C",0,0,0,0,0,0,0,0
"FCGR1A",0,0,0,0,0,0,2.99433994907148e-05,0
"HIST2H2BF",1.32445588775354e-06,7.07113627115603e-06,1.15203157990344e-05,2.35432607416127e-06,1.4658507252586e-05,0,6.74609328372606e-06,6.87152642167218e-06
"AC243772.2",0,0,0,0,0,0,4.63983296601322e-06,0
"HIST2H3D",0,0,0,0,0,0,0,0
"HIST2H4A",9.63414340422457e-07,0,0,0,0,0,0,0
"HIST2H3C",0,0,0,0,0,0,0,0
"HIST2H2AA3",0,0,0,0,0,0,0,0
"AC239868.3",0,1.2528580825007e-06,5.32038900122941e-06,0,0,0,0,0
"HIST2H2AA4",3.76353434569843e-06,0,0,0,0,0,2.25022502250225e-06,0
"HIST2H3A",0,0,0,0,0,0,0,0
"HIST2H4B",0,2.22580824661955e-06,0,0,0,0,0,0
"AC239868.2",1.54700950605652e-06,0,0,2.62174739463853e-06,0,0,3.69173973234887e-06,0
"HIST2H2BE",1.40275843211988e-05,6.38738602457888e-06,2.12384883986212e-05,1.55844629431592e-05,2.12086237125062e-05,1.58712100100644e-05,1.01064209219723e-05,1.72912889932099e-05
"HIST2H2AC",3.84150425551722e-06,2.10707347779286e-05,1.07557878799176e-05,3.79750532462529e-06,2.8155512951678e-05,3.80064998961715e-05,2.9079319910869e-05,2.72143559482402e-05
"HIST2H2AB",0,1.20598166907863e-06,0,0,0,2.90634309380222e-06,0,0
"BOLA1",1.36550513641987e-05,9.98029241742161e-06,1.77895525965212e-05,1.39118880182435e-05,1.4198756999831e-05,1.24486308999674e-05,1.6630669586156e-05,1.09678357198607e-05
